"Identifikator";"Firma";"Zusatz";"PLZ";"Ort";"Status";"Bemerkung"
"100000 12345";"Alpiq AG";"";"4601";"Olten";"AKTIV";""
"100010 12345";"Technische Betriebe Glarus";"";"8750";"Glarus";"PASSIV";"Ehemals: Elektrizitäts- und Wasserversorgung Ennenda, 8755 Ennenda (bis 2010)"
"100020 12345";"eug Elektra Untergäu";"Genossenschaft";"4616";"Kappel";"AKTIV";""
"100030 12345";"Elektra Widen Betriebs AG";"";"8967";"Widen";"AKTIV";""
"100040 12345";"Gemeinde Männedorf, Energieversorgung";"Elektrizitätswerk";"8708";"Männedorf";"AKTIV";""
"100050 12345";"IB Langenthal AG";"";"4900";"Langenthal";"AKTIV";""
"100060 12345";"Regionalwerke AG Baden";"";"5401";"Baden";"AKTIV";""
"100070 12345";"Technische Betriebe Würenlos";"";"5436";"Würenlos";"AKTIV";""
"100080 12345";"Gemeindewerke Galgenen";"";"8854";"Galgenen";"AKTIV";""
"100090 12345";"die werke versorgung wallisellen ag";"";"8304";"Wallisellen";"AKTIV";""
"100100 12345";"Elektrizitätswerk Rümlang Genossenschaft";"";"8153";"Rümlang";"AKTIV";""
"100110 12345";"Technische Werke Eschlikon";"";"8360";"Eschlikon TG";"AKTIV";""
"100120 12345";"Technische Betriebe Glarus Nord";"";"8752";"Näfels";"PASSIV";"Ehemals: EWN Wasser- und Elektrizitätswerk Niederurnen, 8867 Niederurnen (bis 2010)"
"100130 12345";"Elektrizitätsversorgung Muhen";"";"5037";"Muhen";"AKTIV";""
"100140 12345";"Gemeindewerke Villmergen";"";"5612";"Villmergen";"AKTIV";""
"100150 12345";"Aziende Municipalizzate Stabio - AMS";"Sezione elettricità";"6855";"Stabio";"AKTIV";""
"100160 12345";"tbgs - Technische Betriebe Glarus Süd";"";"8762";"Schwanden";"PASSIV";"Ehemals: Elektrizitätswerk Schwanden, 8762 Schwanden (bis 2010)"
"100170 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"100180 12345";"MFEnergie";"Murg Flums Energie";"8877";"Murg";"AKTIV";""
"100190 12345";"AET Azienda Elettrica Ticinese";"";"6513";"Monte Carasso";"AKTIV";""
"100200 12345";"Elektrizitätsversorgung Lotzwil";"";"4932";"Lotzwil";"AKTIV";""
"100210 12345";"EW Höfe AG";"";"8807";"Freienbach";"AKTIV";""
"100220 12345";"Gemeindewerke Fällanden";"";"8117";"Fällanden";"AKTIV";""
"100230 12345";"Azienda Multiservizi Bellinzona (AMB)";"";"6500";"Bellinzona";"AKTIV";""
"100240 12345";"VO Energies Distribution SA";"";"1350";"Orbe";"PASSIV";"Ehemals: Société Electrique du Châtelard S.A., 1337 Vallorbe (bis 2012)"
"100250 12345";"Elektrizitätswerk Ermatingen";"";"8272";"Ermatingen";"AKTIV";""
"100260 12345";"Technische Betriebe der Gemeinde Sulgen";"";"8583";"Sulgen";"AKTIV";""
"100270 12345";"Forces Motrices de l'Avançon SA";"";"1880";"Bex";"AKTIV";""
"100280 12345";"EW Jaun Energie AG";"";"1656";"Jaun";"AKTIV";""
"100290 12345";"Société Electrique Intercommunale de la Côte SA (SEIC)";"";"1196";"Gland";"AKTIV";""
"100300 12345";"Technische Betriebe Flawil";"Elektrizität";"9230";"Flawil";"AKTIV";""
"100310 12345";"EWA-energieUri AG";"";"6460";"Altdorf";"AKTIV";""
"100320 12345";"Technische Betriebe Rorschach";"";"9400";"Rorschach";"AKTIV";""
"100330 12345";"Elektrizitäts- und Wasserwerk Sevelen";"";"9475";"Sevelen";"AKTIV";""
"100340 12345";"Technische Betriebe Waldkirch";"";"9205";"Waldkirch";"AKTIV";""
"100350 12345";"Technische Betriebe Glarus Nord";"";"8752";"Näfels";"PASSIV";"Ehemals: Gemeinde Filzbach, 8757 Filzbach (bis 2010)"
"100360 12345";"CKW AG";"";"6015";"Luzern";"AKTIV";""
"100370 12345";"Werke Wangen-Brüttisellen";"";"8306";"Brüttisellen";"AKTIV";""
"100380 12345";"Kantonales Elektrizitätswerk Nidwalden";"";"6371";"Stans";"AKTIV";""
"100390 12345";"Gemeindewerke Schübelbach";"";"8862";"Schübelbach";"AKTIV";""
"100400 12345";"rwt Regionalwerk Toggenburg AG";"";"9602";"Bazenheid";"PASSIV";"Ehemals: Dorfkorporation Bütschwil, 9606 Bütschwil (Fusion per 1.1.2011)"
"100410 12345";"Romande Energie SA";"";"1110";"Morges";"PASSIV";"Ehemals: Alpiq Suisse SA / Energie Ouest Suisse (EOS), 1001 Lausanne (Übernahme per 1.1.2013)"
"100420 12345";"Société anonyme d'Electricité d'Ardon";"c/o SAE Services Ardon SA";"1957";"Ardon";"AKTIV";""
"100430 12345";"Technische Gemeindebetriebe TGB";"Elektrizitätsversorgung";"9220";"Bischofszell";"AKTIV";""
"100440 12345";"Service de l'Electricité SEB";"Administration Communale";"1030";"Bussigny";"AKTIV";""
"100450 12345";"Martin Zeller AG Flums";"Elektrizitätswerk";"8890";"Flums";"AKTIV";""
"100460 12345";"Wasser- & Elektrizitätswerk Steinhausen";"";"6312";"Steinhausen";"AKTIV";""
"100470 12345";"Arbon Energie AG";"";"9320";"Arbon";"AKTIV";""
"100480 12345";"energia alpina";"";"7188";"Sedrun";"AKTIV";""
"100490 12345";"EBL (Genossenschaft Elektra Baselland)";"";"4410";"Liestal";"AKTIV";""
"100500 12345";"Energie Uster AG";"";"8610";"Uster";"AKTIV";""
"100510 12345";"Elektrizitätsversorgung Mörschwil";"";"9402";"Mörschwil";"AKTIV";""
"100520 12345";"Gemeindebetriebe Aarwangen";"Elektrizitätsversorgung";"4912";"Aarwangen";"AKTIV";""
"100530 12345";"EKT Energie AG";"";"9320";"Arbon";"AKTIV";""
"100540 12345";"SWL Energie AG";"";"5600";"Lenzburg";"AKTIV";""
"100550 12345";"Rabiosa Energie";"";"7075";"Churwalden";"AKTIV";""
"100560 12345";"Elektrizitätsversorgung Würenlingen";"";"5303";"Würenlingen";"AKTIV";""
"100570 12345";"Elektra Zihlschlacht Riet";"";"8588";"Zihlschlacht";"AKTIV";""
"100580 12345";"Elektra Haeuslenen";"";"8522";"Häuslenen";"PASSIV";"Ehemals: Elektra-/Wasser Korporation Aawangen, 8522 Häuslenen (bis 31.12.2011)"
"100590 12345";"Elektra Unterlunkhofen";"";"8918";"Unterlunkhofen";"AKTIV";""
"100600 12345";"Technische Gemeindebetriebe Hauptwil-Gottshaus";"";"9213";"Hauptwil";"AKTIV";"Übernahme Elektra-Genossenschaft Wilen-Gottshaus (2009)"
"100610 12345";"NetZulg AG";"";"3612";"Steffisburg";"AKTIV";""
"100620 12345";"Technische Betriebe Altstätten";"";"9450";"Altstätten";"AKTIV";""
"100630 12345";"Groupe E SA";"";"1763";"Granges-Paccot";"AKTIV";""
"100640 12345";"Groupe E SA";"";"2035";"Corcelles NE";"AKTIV";""
"100650 12345";"Elektra Walzenhausen";"";"9428";"Walzenhausen";"AKTIV";""
"100660 12345";"Services Industriels de Nyon";"";"1260";"Nyon";"AKTIV";""
"100670 12345";"EW GOMS Energie AG";"";"3995";"Ernen";"AKTIV";"bis 2013: Elektrizitätswerk Ernen-Mühlebach AG, 3995 Ernen"
"100680 12345";"AG Kraftwerk Wägital";"";"8854";"Siebnen";"AKTIV";""
"100690 12345";"Energie Service Biel / Bienne";"";"2500";"Biel/Bienne";"AKTIV";""
"100700 12345";"St. Moritz Energie";"";"7500";"St. Moritz";"AKTIV";""
"100710 12345";"EW Aadorf";"";"8355";"Aadorf";"PASSIV";"Ehemals: Elektra Ettenhausen, 8356 Ettenhausen TG (Übernahme 1.1.2010)"
"100720 12345";"Regio Energie Solothurn";"";"4502";"Solothurn";"AKTIV";""
"100730 12345";"Technische Betriebe Glarus Nord";"";"8752";"Näfels";"PASSIV";"Ehemals: Elektrizitätswerk Mollis, 8753 Mollis (bis 2010)"
"100740 12345";"Kraftwerke Frisal AG";"c/o Axpo Power AG";"5400";"Baden";"AKTIV";""
"100750 12345";"Elektra Genossenschaft Rietheim";"c/o Elektrizitäts-Genossenschaft Siggenthal";"5415";"Nussbaumen AG";"AKTIV";""
"100760 12345";"Elektra-Korporation Wolfhalden EKW";"";"9427";"Wolfhalden";"AKTIV";""
"100770 12345";"Elektrizitäts & Wasserwerk Mels";"";"8887";"Mels";"AKTIV";""
"100780 12345";"Mueve Biel-Seeland AG";"";"2503";"Biel/Bienne";"AKTIV";""
"100790 12345";"Elektrizitätswerk Azmoos";"";"9478";"Azmoos";"AKTIV";""
"100800 12345";"Elektrizitätswerk Uznach AG";"";"8730";"Uznach";"AKTIV";""
"100810 12345";"Technische Betriebe Glarus";"";"8750";"Glarus";"PASSIV";"Ehemals: Werkbetriebe Glarus, 8750 Glarus (bis 2010)"
"100820 12345";"Yverdon-les-bains Energies";"";"1401";"Yverdon-les-Bains";"AKTIV";""
"100830 12345";"Primeo Energie AG";"";"4142";"Münchenstein";"AKTIV";"Ehemals: EBM (Genossenschaft Elektra Birseck)"
"100840 12345";"Elektrizitäts- und Wasserwerk der Stadt Buchs";"";"9470";"Buchs";"AKTIV";""
"100850 12345";"Services Industriels Lausanne";"";"1002";"Lausanne";"AKTIV";""
"100860 12345";"Elektrizitätswerk Embrach";"";"8424";"Embrach";"AKTIV";""
"100870 12345";"EnBAG AG";"";"3900";"Brig";"AKTIV";""
"100880 12345";"St. Gallisch-Appenzellische Kraftwerke AG";"";"9000";"St. Gallen";"AKTIV";""
"100890 12345";"Elektrizitätsgenossenschaft Marthalen";"";"8460";"Marthalen";"AKTIV";""
"100900 12345";"Kraftwerke Oberhasli AG (KWO)";"";"3862";"Innertkirchen";"AKTIV";""
"100910 12345";"BKW Energie AG";"";"3013";"Bern";"PASSIV";"Ehemals: EWR ENERGIE AG, 3860 Meiringen (Übernahme per 1.1.2016)"
"100920 12345";"Gemeindebetriebe Wilderswil";"Elektrizitätsversorgung";"3812";"Wilderswil";"AKTIV";""
"100930 12345";"Elektrizitätswerk Vaz/Obervaz";"";"7078";"Lenzerheide";"AKTIV";""
"100940 12345";"Dorfkorporation Mosnang";"";"9607";"Mosnang";"AKTIV";""
"100950 12345";"CIMO Compagnie Industrielle de Monthey SA";"Service Finance et Achats";"1870";"Monthey";"AKTIV";""
"100960 12345";"Services industriels de Lutry";"";"1095";"Lutry";"AKTIV";""
"100970 12345";"rwt Regionalwerk Toggenburg AG";"";"9602";"Bazenheid";"AKTIV";"Ehemals: Energie AG Kirchberg, 9533 Kirchberg SG; Zusammenschluss der Energie AG Kirchberg, Dorfkorporation Bütschwil und die Elektra Lütisburg (per 1.1.2012)"
"100980 12345";"Elektrizitätswerk Schindellegi";"";"8835";"Feusisberg";"AKTIV";""
"100990 12345";"Flims Trin Energie AG";"";"7017";"Flims Dorf";"AKTIV";""
"101000 12345";"ewz Elektrizitätswerk der Stadt Zürich";"";"8050";"Zürich";"AKTIV";""
"101010 12345";"EWS Energie AG";"";"5734";"Reinach";"AKTIV";""
"101020 12345";"Bas-Valais Energie SA";"c/o Romande Energie SA";"1110";"Morges";"PASSIV";"Ehemals: Société de Distribution Electrique de Champéry SA (SDEC), 1874 Champéry (bis 2012)"
"101030 12345";"Energie Freiamt AG";"";"5630";"Muri";"AKTIV";""
"101040 12345";"Elektrizitätswerk der Politischen Gemeinde Tägerwilen";"";"8274";"Tägerwilen";"AKTIV";""
"101050 12345";"Genossenschaft Elektra Äusseres Wasseramt EAW";"";"4554";"Etziken";"AKTIV";""
"101060 12345";"Elektra Hermetschwil-Staffeln";"";"5626";"Hermetschwil";"AKTIV";""
"101070 12345";"Axpo Grid AG";"";"5401";"Baden";"AKTIV";"Ehemals: EGL Grid AG, 5080 Laufenburg"
"101080 12345";"Elektrizitätswerk der Gemeinde Reichenburg";"";"8864";"Reichenburg";"AKTIV";""
"101090 12345";"Aziende Industriali di Lugano (AIL) SA";"";"6933";"Muzzano";"AKTIV";""
"101100 12345";"Energie Seeland AG";"";"3250";"Lyss";"AKTIV";""
"101110 12345";"Romande Energie SA";"";"1110";"Morges";"AKTIV";""
"101120 12345";"Elektrizitätsgenossenschaft Bubikon";"";"8608";"Bubikon";"AKTIV";""
"101130 12345";"EW Rothrist AG";"";"4852";"Rothrist";"AKTIV";""
"101140 12345";"EWS AG";"";"6438";"Ibach";"AKTIV";""
"101150 12345";"Azienda Elettrica Comunale";"";"6612";"Ascona";"AKTIV";""
"101160 12345";"AEW Energie AG";"";"5000";"Aarau";"PASSIV";"Ehemals: Energiedienst Holding AG, 5080 Laufenburg (Übernahme 2016)"
"101170 12345";"AEW Energie AG";"";"5000";"Aarau";"AKTIV";""
"101180 12345";"EWD Elektrizitätswerk Davos AG";"";"7270";"Davos Platz";"AKTIV";""
"101190 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"101200 12345";"Aare Versorgungs AG (AVAG)";"";"4600";"Olten";"AKTIV";""
"101210 12345";"Repower";"";"7742";"Poschiavo";"AKTIV";"Identifikator für die Region Prättigau/Rheintal"
"101220 12345";"Repower";"";"7742";"Poschiavo";"PASSIV";"Frühere Identifikator für das Netzgebiet Puschlav"
"101230 12345";"Repower";"";"7742";"Poschiavo";"AKTIV";"Identifikator für die  Region Surselva"
"101240 12345";"Glattwerk AG";"";"8600";"Dübendorf";"AKTIV";""
"101250 12345";"Energie Wasser Bern";"";"3001";"Bern";"AKTIV";""
"101260 12345";"Elektrizitätsversorgung Niederbipp";"";"4704";"Niederbipp";"AKTIV";""
"101270 12345";"OIKEN";"";"1951";"Sion";"PASSIV";"Ehemals: Sierre-Energie SA, 3960 Sierre (bis 31.12.2019)"
"101280 12345";"Energie- und Wasserversorgung Appenzell";"(Feuerschaugemeinde)";"9050";"Appenzell";"AKTIV";""
"101290 12345";"EW Wald AG";"";"8636";"Wald";"AKTIV";""
"101300 12345";"Regio Energie Amriswil (REA)";"";"8580";"Amriswil";"AKTIV";""
"101310 12345";"Technische Betriebe Glarus Nord";"";"8752";"Näfels";"PASSIV";"Ehemals: Elektrizitätsversorgung Mühlehorn, 8874 Mühlehorn (bis 2010)"
"101320 12345";"Stadtwerke Gossau";"";"9200";"Gossau";"AKTIV";""
"101330 12345";"Energieversorgung Pieterlen";"";"2542";"Pieterlen";"AKTIV";""
"101340 12345";"Elektra Fischingen";"";"8376";"Fischingen";"AKTIV";""
"101350 12345";"Elektrizitätsgenossenschaft Mühlau";"";"5642";"Mühlau";"AKTIV";""
"101360 12345";"Energie Versorgung Riggisberg AG";"";"3132";"Riggisberg";"AKTIV";""
"101370 12345";"Elektra Beinwil";"";"5637";"Beinwil (Freiamt)";"AKTIV";""
"101380 12345";"Elektra Genossenschaft Auw";"";"5644";"Auw";"AKTIV";""
"101390 12345";"Eli10 S.A.";"";"2022";"Bevaix";"PASSIV";"Commune du Landeron Service technique, 2525 Le Landeron (Übernahme per 2017)"
"101400 12345";"Monthey Energies SA";"";"1870";"Monthey";"AKTIV";""
"101410 12345";"Services Techniques de la Municipalité de St-Imier";"";"2610";"St-Imier";"AKTIV";""
"101420 12345";"Ville de Pully";"Direction des travaux et des services industriels";"1009";"Pully";"AKTIV";""
"101430 12345";"OIKEN";"";"1951";"Sion";"PASSIV";"Ehemals: L'Energie de Sion-Région SA, 1950 Sion (bis 31.12.2019)"
"101440 12345";"Versorgungswerke Melchnau";"Elektrizitätsversorgung";"4917";"Melchnau";"AKTIV";""
"101450 12345";"Dorfkorporation Bronschhofen";"";"9552";"Bronschhofen";"AKTIV";""
"101460 12345";"Axpo Hydro Surselva AG";"c/o Axpo Power AG";"5401";"Baden";"AKTIV";""
"101470 12345";"Kraftwerk Reichenau AG c/o Axpo AG";"";"5401";"Baden";"AKTIV";""
"101480 12345";"EDSR Energiedienste Staldenried AG";"";"3933";"Staldenried";"AKTIV";""
"101490 12345";"Elektrizitätsversorgung Diessenhofen";"";"8253";"Diessenhofen";"AKTIV";""
"101500 12345";"ewl energie wasser luzern";"";"6005";"Luzern";"AKTIV";""
"101510 12345";"Energie Hunzenschwil AG";"";"5502";"Hunzenschwil";"AKTIV";"Bis 2013: Technische Betriebe Hunzenschwil, Elektrizitätsversorgung, 5502 Hunzenschwil"
"101520 12345";"Städtische Betriebe Olten (sbo)";"";"4600";"Olten";"AKTIV";""
"101530 12345";"Elektrizitätswerke des Kantons Zürich - EKZ";"";"8002";"Zürich";"AKTIV";""
"101540 12345";"Technische Betriebe Glarus Nord";"";"8752";"Näfels";"PASSIV";"Ehemals: Elektrizitätsversorgung Obstalden, 8758 Obstalden (bis 2010)"
"101550 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"101560 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"101570 12345";"Commune de Belmont-sur-Lausanne";"Bureau technique";"1092";"Belmont-sur-Lausanne";"AKTIV";""
"101580 12345";"Technische Betriebe St. Margrethen";"";"9430";"St. Margrethen SG";"AKTIV";""
"101590 12345";"Azienda Elettrica di Massagno SA";"";"6900";"Massagno";"AKTIV";""
"101600 12345";"Gruyère Energie SA";"";"1630";"Bulle";"AKTIV";""
"101610 12345";"TBS Strom AG";"";"5034";"Suhr";"AKTIV";""
"101620 12345";"EWL Genossenschaft";"";"3822";"Lauterbrunnen";"AKTIV";""
"101630 12345";"VO Energies Distribution SA";"";"1350";"Orbe";"PASSIV";"Ehemals: Société des Usines de l'Orbe, 1350 Orbe (bis 2012)"
"101640 12345";"Elektrizitätsversorgung Dintikon";"";"5606";"Dintikon";"AKTIV";""
"101650 12345";"Elektrizitäts- und Wasserversorgung Port";"";"2562";"Port";"AKTIV";""
"101660 12345";"StWZ Energie AG";"";"4800";"Zofingen";"AKTIV";""
"101670 12345";"IWB Industrielle Werke Basel";"";"4002";"Basel";"AKTIV";""
"101680 12345";"Rhiienergie AG";"";"7015";"Tamins";"AKTIV";""
"101690 12345";"Eli10 S.A.";"";"2022";"Bevaix";"PASSIV";"Ehemals: SE Saint-Blaise, 2072 St-Blaise (Übernahme per 2017)"
"101700 12345";"Elektrizitätsversorgung Murgenthal";"";"4853";"Murgenthal";"AKTIV";""
"101710 12345";"Elektrizitätsversorgung Seedorf";"";"3267";"Seedorf BE";"AKTIV";""
"101720 12345";"St. Gallisch-Appenzellische Kraftwerke AG";"";"9000";"St. Gallen";"PASSIV";"Ehemals: AG Elektrizitätswerke Bad Ragaz, 7310 Bad Ragaz (fusioniert mit SAK 2007)"
"101730 12345";"SBB AG - Geschäftsbereich Energie";"";"3052";"Zollikofen";"AKTIV";""
"101740 12345";"Technische Betriebe Glarus";"";"8750";"Glarus";"PASSIV";"Ehemals: Elektrizitätsversorgung der Gemeinde Netstal, 8754 Netstal (bis 2010)"
"101750 12345";"AGE SA";"";"6830";"Chiasso";"AKTIV";""
"101760 12345";"SN Energie AG";"";"9000";"St.Gallen";"AKTIV";""
"101770 12345";"EE-ENERGIA ENGIADINA";"";"7550";"Scuol";"AKTIV";"Zusammengeschlossene EW der Gemeinden Ardez, Ftan, Guarda, Lavin, Ramosch, Sent,  Scuol, Susch, Tarasp und Tschlin"
"101780 12345";"Swissgrid AG";"";"5000";"Aarau";"AKTIV";""
"101790 12345";"Elektrizitätswerk Obwalden";"";"6064";"Kerns";"AKTIV";""
"101800 12345";"Elektrizitätsversorgung Madiswil";"Bauverwaltung";"4934";"Madiswil";"AKTIV";""
"101810 12345";"Elektra Andwil";"";"9204";"Andwil SG";"AKTIV";""
"101820 12345";"Regionale Technische Betriebe RTB";"";"5103";"Wildegg";"AKTIV";""
"101830 12345";"Elektra Mümliswil-Ramiswil";"";"4717";"Mümliswil";"AKTIV";""
"101840 12345";"Elektrizitätswerk der Gemeinde Scharans";"";"7412";"Scharans";"AKTIV";""
"101850 12345";"Gemeindebetriebe Roggwil (GBR)";"";"4914";"Roggwil BE";"AKTIV";""
"101860 12345";"Stadtwerk Winterthur";"";"8403";"Winterthur";"AKTIV";""
"101870 12345";"EW Aadorf";"";"8355";"Aadorf";"AKTIV";"Zusammenschluss des EW Aadorf mit der Elektra Ettenhausen (2010) und Elektrakorporation Wittenwil und Umgebung (2014)"
"101880 12345";"GEBNET AG";"";"4583";"Aetigkofen";"PASSIV";"Ehemals: Elektra Wengi, 3251 Wengi b. Büren (Beitritt 1.1.2009)"
"101890 12345";"BKW";"EVU-Dienstleistungen";"4901";"Langenthal";"PASSIV";"Ehemals: Genossenschaft Elektra Rohrbachgraben, 4938 Rohrbach (Übernahme 2012)"
"101900 12345";"Elektrizitätswerk Oberglatt";"";"8154";"Oberglatt ZH";"AKTIV";""
"101910 12345";"Elektrizitäts-Genossenschaft Mülligen";"";"5243";"Mülligen";"AKTIV";""
"101920 12345";"Elektrizitätsversorgung Ursenbach";"";"4937";"Ursenbach";"AKTIV";""
"101930 12345";"Industrielle Betriebe Huttwil AG";"";"4950";"Huttwil";"AKTIV";""
"101940 12345";"Dorfkorporation Ebnat-Kappel";"";"9642";"Ebnat-Kappel";"AKTIV";""
"101950 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"101960 12345";"Elektrizitätsversorgung Rorschacherberg";"";"9404";"Rorschacherberg";"AKTIV";""
"101970 12345";"Elektra Haeuslenen";"";"8522";"Häuslenen";"PASSIV";"Ehemals: Elektra Häuslenen (vor Fusion mit der EWK Aawangen per 31.12.2011)"
"101980 12345";"Elektrizitätsversorgung Wittenbach";"";"9300";"Wittenbach";"AKTIV";""
"101990 12345";"St. Galler Stadtwerke";"";"9001";"St.Gallen";"AKTIV";""
"102000 12345";"Werkbetrieb Elektrizität Amlikon-Bissegg";"";"8514";"Amlikon-Bissegg";"PASSIV";"Ehemals: Elektragenossenschaft Fimmelsberg, 8514 Bissegg"
"102010 12345";"EWD";"";"4552";"Derendingen";"AKTIV";""
"102020 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"102030 12345";"ebs Energie AG";"";"6431";"Schwyz";"AKTIV";""
"102040 12345";"HEnergie Härkingen HEH";"";"4624";"Härkingen";"AKTIV";""
"102050 12345";"Axpo Power AG";"";"5401";"Baden";"AKTIV";""
"102060 12345";"Società Elettrica Sopracenerina SA (SES)";"";"6600";"Locarno";"AKTIV";""
"102070 12345";"SH POWER";"";"8200";"Schaffhausen";"AKTIV";"Bis 2013: Städtische Werke Schaffhausen und Neuhausen am Rheinfall, 8200 Schaffhausen"
"102080 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"102090 12345";"Technische Betriebe Grabs";"Strom / CATV";"9472";"Grabs";"AKTIV";""
"102100 12345";"Elektrizitätsversorgung der Gemeinde Eriswil";"";"4952";"Eriswil";"AKTIV";""
"102110 12345";"EW Rothrist AG";"";"4852";"Rothrist";"PASSIV";"Ehemals: Elektrizitätsversorgung Vordemwald, 4803 Vordemwald"
"102120 12345";"Elektra Genossenschaft Arni-Islisberg";"";"8905";"Islisberg AG";"AKTIV";""
"102130 12345";"IBB Energie AG";"";"5200";"Brugg";"AKTIV";""
"102140 12345";"TB Gränichen Energie AG";"";"5722";"Gränichen";"AKTIV";""
"102150 12345";"WWZ Netze AG";"";"6301";"Zug";"AKTIV";""
"102160 12345";"WWZ Netze AG";"";"6301";"Zug";"PASSIV";"Ehemals: Elektrizitätswerke Hochdorf AG, 6280 Hochdorf (Fusion 2015)"
"102170 12345";"Genedis";"";"1904";"Vernayaz";"AKTIV";""
"102180 12345";"Elektrizitätsversorgung Oberbuchsiten";"";"4625";"Oberbuchsiten";"AKTIV";""
"102190 12345";"Steiner Energie AG";"";"6102";"Malters";"AKTIV";""
"102200 12345";"Services Industriels de la Commune de Fully";"";"1926";"Fully";"AKTIV";""
"102210 12345";"Genossenschaft EW Romanshorn";"";"8590";"Romanshorn";"AKTIV";""
"102220 12345";"BKW Energie AG";"";"3013";"Bern";"AKTIV";""
"102221 12345";"BKW Energie AG";"";"3013";"Bern";"PASSIV";""
"102222 12345";"BKW Energie AG";"";"3013";"Bern";"PASSIV";""
"102223 12345";"BKW Energie AG";"";"3013";"Bern";"PASSIV";""
"102224 12345";"BKW Energie AG";"";"3013";"Bern";"PASSIV";""
"102225 12345";"BKW Energie AG";"";"3013";"Bern";"PASSIV";""
"102226 12345";"BKW Energie AG";"";"3013";"Bern";"PASSIV";""
"102227 12345";"BKW Energie AG";"";"3013";"Bern";"PASSIV";""
"102228 12345";"BKW Energie AG";"";"3013";"Bern";"PASSIV";""
"102229 12345";"BKW Energie AG";"";"3013";"Bern";"PASSIV";""
"102230 12345";"BKW Übertragungsnetz AG";"c/o BKW Energie AG";"3000";"Bern";"AKTIV";""
"102231 12345";"BKW Übertragungsnetz AG";"c/o BKW Energie AG";"3000";"Bern";"PASSIV";""
"102232 12345";"BKW Übertragungsnetz AG";"c/o BKW Energie AG";"3000";"Bern";"PASSIV";""
"102233 12345";"BKW Übertragungsnetz AG";"c/o BKW Energie AG";"3000";"Bern";"PASSIV";""
"102234 12345";"BKW Übertragungsnetz AG";"c/o BKW Energie AG";"3000";"Bern";"PASSIV";""
"102235 12345";"BKW Übertragungsnetz AG";"c/o BKW Energie AG";"3000";"Bern";"PASSIV";""
"102236 12345";"BKW Übertragungsnetz AG";"c/o BKW Energie AG";"3000";"Bern";"PASSIV";""
"102237 12345";"BKW Übertragungsnetz AG";"c/o BKW Energie AG";"3000";"Bern";"PASSIV";""
"102238 12345";"BKW Übertragungsnetz AG";"c/o BKW Energie AG";"3000";"Bern";"PASSIV";""
"102239 12345";"BKW Übertragungsnetz AG";"c/o BKW Energie AG";"3000";"Bern";"PASSIV";""
"102240 12345";"Elektra Steinach";"";"9323";"Steinach";"AKTIV";""
"102250 12345";"Services Industriels de Genève (SIG)";"";"1219";"Le Lignon";"AKTIV";""
"102260 12345";"Elektra Itingen";"";"4452";"Itingen";"AKTIV";""
"102270 12345";"SEDRE SA";"";"1934";"Le Châble VS";"PASSIV";"Ehemals: Services Industriels de Bagnes, 1934 Le Châble VS (bis 31.12.2016)"
"102280 12345";"Energie Kreuzlingen";"";"8280";"Kreuzlingen";"AKTIV";""
"102290 12345";"SIE SA";"";"1023";"Crissier";"AKTIV";""
"102300 12345";"Infrastruktur Zürichsee AG";"";"8706";"Meilen";"PASSIV";"Ehemals: Energie Uetikon AG, 8707 Uetikon am See (Fusion mit Energie und Wasser Meilen per 1.1.2019)"
"102310 12345";"Service Electrique Orsières";"";"1937";"Orsières";"AKTIV";""
"102320 12345";"Elektra Reigoldswil";"";"4418";"Reigoldswil";"AKTIV";""
"102330 12345";"Werkbetrieb Elektrizität Amlikon-Bissegg";"";"8514";"Amlikon-Bissegg";"AKTIV";"2008 wurden die Elektrakorporation Amlikon, Elektrakorporation Bissegg-Bänikon und  Elektrakorporation Fimmelsberg übernommen"
"102340 12345";"Wasser- und Elektrizitätswerk Walenstadt";"";"8880";"Walenstadt";"AKTIV";""
"102350 12345";"Elektrizitätswerk des Kantons Schaffhausen AG";"";"8201";"Schaffhausen";"AKTIV";""
"102360 12345";"Energieversorgung";"Gemeindeverwaltung Uesslingen-Buch";"8524";"Uesslingen";"AKTIV";""
"102370 12345";"Energie Kestenholz";"";"4703";"Kestenholz";"AKTIV";""
"102380 12345";"Werke am Zürichsee AG";"";"8700";"Küsnacht";"PASSIV";"Ehemals: Gemeindewerke Zollikon, 8702 Zollikon (2009: Teilzusammenschluss der Gemeindewerke Küsnacht und Zollikon sowie der EWE AG, Erlenbach)"
