"Identifikator";"Firma";"Zusatz";"PLZ";"Ort";"Status";"Bemerkung"
"107870 12345";"Elektrizitätswerk Wigoltingen";"";"8556";"Wigoltingen";"AKTIV";""
"107880 12345";"IB Wohlen AG";"";"5610";"Wohlen";"AKTIV";""
"107890 12345";"Elektra Zufikon";"";"5621";"Zufikon";"AKTIV";""
"107900 12345";"Lizerne et Morge S.A.";"";"1951";"Sion";"AKTIV";""
"107910 12345";"Chemins de fer du Jura SA";"";"2720";"Tramelan";"AKTIV";""
"107920 12345";"Gemischte Gemeinde Brienzwiler";"Elektrizitätsversorgung";"3856";"Brienzwiler";"AKTIV";""
"107930 12345";"GEVAG";"";"7203";"Trimmis";"AKTIV";""
"107940 12345";"Axpo Biomasse AG";"Hauptsitz";"5401";"Baden";"AKTIV";"Ehemals: Axpo Kompogas AG Anlage Aarberg, 8152 Glattbrugg. Neu integriert in die Axpo Biomasse AG, 5401 Baden"
"107950 12345";"EVG Grächen AG";"";"3925";"Grächen";"AKTIV";""
"107960 12345";"EOF Energie Oberes Fricktal AG";"";"5073";"Gipf-Oberfrick";"AKTIV";"Ehemals: EGO Elektra Gipf-Oberfrick, 5073 Gipf-Oberfrick (Zusammenschluss der Elektra Gipf-Oberfrick, der Elektra Wölflinswil, der Elektra Genossenschaft Oberhof und das Gemeindewerk von Wittnau per 1.1.2016)"
"107970 12345";"Alpiq AG";"";"4601";"Olten";"PASSIV";"Ehemals: Avenis SA, 1000 Lausanne (Fusion 2011 mit Alpiq AG, 4601 Olten)"
"107980 12345";"Iberdrola Generacion S.A., Bilbao,";"Zweigniederlassung Zürich";"8001";"Zürich";"AKTIV";""
"107990 12345";"HYDRO Exploitation SA";"";"1950";"Sion";"AKTIV";""
"108000 12345";"Blinnenwerk AG";"";"3998";"Reckingen VS";"AKTIV";""
"108010 12345";"Technische Gemeindebetriebe Hauptwil-Gottshaus";"";"9213";"Hauptwil";"PASSIV";"Ehemals: Elektra-Genossenschaft Wilen-Gottshaus, 9225 Wilen (Gottshaus) (bis 2009)"
"108020 12345";"Elektrizitätsversorgung Egerkingen";"";"4622";"Egerkingen";"AKTIV";""
"108030 12345";"Genossenschaft Werk Bichelsee-Balterswil";"";"8362";"Balterswil";"PASSIV";"Ehemals: Elektra Bichelsee, 8362 Balterswil"
"108040 12345";"Elektrizitätsversorgung Zeihen (EVZ)";"";"5079";"Zeihen";"AKTIV";""
"108050 12345";"Elektra-Genossenschaft Künten";"";"5444";"Künten";"AKTIV";""
"108060 12345";"Gemeindeverwaltung Vorderthal";"Elektrizitätsversorgung";"8857";"Vorderthal";"AKTIV";""
"108070 12345";"Elektra Eichberg";"";"9453";"Eichberg";"AKTIV";""
"108080 12345";"Elektra Rüderswil";"";"3437";"Rüderswil";"AKTIV";""
